ProductID,ProductNo,ProductName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
19399207,,"JACOBS CREEK Pinot Noir S1",9300727009418,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399208,,"JACOBS CREEK Prosecco Spritz S1",9300727022172,,ml,750,17.99,GST,14.2060,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399211,,"JACOBS CREEK Reserve Cab Sauv S1",9300727313010,,ml,750,16.99,GST,13.1400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399210,,"JACOBS CREEK Reserve Chardonnay Pinot Noir S1",9300727071002,,ml,750,18.99,GST,13.1400,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399209,,"JACOBS CREEK Reserve Chardonnay S1",9300727135520,,ml,750,16.99,GST,13.1400,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
20053445,,"JACOBS CREEK Reserve Sauv Blanc S1",9300727505002,,ml,750,16.99,GST,8.9783,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399214,,"JACOBS CREEK Reserve Shiraz S1",9300727516008,,ml,750,16.99,GST,13.1400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399215,,"JACOBS CREEK Riesling S1",9300727389008,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399217,,"JACOBS CREEK Sauv Blanc S1",9300727004390,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399221,,"JACOBS CREEK Shiraz Cab S1",9300727453006,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399147,,"JAGERMEISTER 700Ml",4067700013750,,ml,700,59.99,GST,47.5980,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399220,,"JACOBS CREEK Shiraz Rose S1",9300727618511,,ml,750,10.99,GST,10.1430,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399218,,"JACOBS CREEK Shiraz S1",9300727488190,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
19399224,,"JACOBS CREEK Sparkling Moscato Rose S1",9300727009388,,ml,750,13.99,GST,10.1430,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399223,,"JACOBS CREEK Sparkling Moscato S1",9300727009364,,ml,750,13.99,GST,10.1430,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399222,,"JACOBS CREEK Sparkling Rose S1",9300727620019,,ml,750,13.99,GST,10.1430,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19399225,,"JACOBS CREEK SSB S1",9300727367006,,ml,750,10.99,GST,8.1170,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,12,BOTTLE,
21986910,,JAGERBOMB,,,ml,30,14,GST,1.6290,GST,0,1,"ALM,beverages,shot,spirits","Spirits - Shots",1,,1,,beverages,,1,,1,Individual,1,UNIT,
19462397,,"JAGERMEISTER nip",,,ml,30,12,GST,2.0390,GST,0,1,"ALM,beverages,shot,spirits","Spirits - Shots",1,,1,,beverages,,1,,2,Individual,1,UNIT,
19399216,,"JACOBS CREEK Sparkling Rose 200ml S1",9300727429001,,ml,200,12,GST,2.9420,GST,0,1,"ALM,beverages,rose,wines",Wines,1,1,1,,beverages,,1,,1,Cartons,24,BOTTLE,
20506010,,"JAMES BOAGS Premium Lager S24",9318691008344,,unit,1,75.99,GST,2.5800,GST,0,1,"beer,beverages,LION","Package BEER Ctn",1,,,,beverages,,1,,1,Cartons,24,BOTTLE,
20506011,,"JAMES BOAGS Premium Lager S1",9318691008320,,unit,1,6.99,GST,2.5800,GST,0,1,"beer,beverages,LION","Package BEER Ind",1,1,1,,beverages,,1,,1,Cartons,24,BOTTLE,
20506009,,"JAMES BOAGS Premium Lager S6",9318691008337,,unit,1,22.99,GST,15.4800,GST,0,1,"beer,beverages,LION","Package BEER Pk",1,,,,beverages,,1,,1,Individual,1,BOTTLE,
